ics_title,ics_description,facility_title,facility_description,standard_title,standard_description,standard_stage,standard_details.abstract,standard_details.Status,standard_details.Publication_date,standard_details.Edition,standard_details.Number_of_pages,standard_details.Technical_Committee,standard_details.ICS,standard_details.preview_doc,standard_details.Corrected_version_(en),standard_details.Corrected_version_(fr)
11.040,Medical equipment,11.040.25,"Syringes, needles and catheters",ISO 11608-7:2016,Needle-based injection systems for medical use — Requirements and test methods — Part 7: Accessibility for persons with visual impairment,90.93,"ISO 11608-7:2016 specifies particular requirements to make needle-based drug delivery systems or NIS (needle-based injection system) accessible for persons with visual impairments. It applies to devices intended for patient or caregiver administration of medicinal products to humans.
It covers requirements to allow for safe and correct handling of the NIS, including labelling, packaging, and instructions for use. It also includes requirements for training programs, if applicable.
It covers requirements for NIS that are claimed to be appropriate for use by persons with visual impairments.
It does not address requirements for use of sharps containers by persons with visual impairments.
Although specifically intended to apply to needle-based injection systems within the ISO 11608 series, ISO 11608-7:2016 can be applied to NIS outside the ISO 11608 series as well, if they might be used by persons with visual impairments.
It is written to address the needs of persons with all levels of visual limitations, including low, moderate, or severe visual impairment; legal, functional, or total blindness; and colour vision deficiencies.
Therefore, ISO 11608-7:2016 includes the requirement to provide information in visual formats that can be perceived and understood by people with moderate visual impairment and in non-visual formats (e.g. tactile or auditory) that can be perceived and understood by people with no useful vision.
For simplicity's sake, this range is described in ISO 11608-7:2016 as addressing the needs of individuals with moderate visual impairment or blindness.",Published,2016-08,1,19,ISO/TC 84 Devices for administration of medicinal products and catheters,"11.040.25:Syringes, needles and catheters",https://www.iso.org/obp/ui/#!iso:std:62507:en,,
11.040,Medical equipment,11.040.25,"Syringes, needles and catheters",ISO 13926-1:1996,Pen systems — Part 1: Glass cylinders for insulin pen-injectors,95.99,,Withdrawn,1996-01,1,3,"ISO/TC 76 Transfusion, infusion and injection, and blood processing equipment for medical and pharmaceutical use","11.040.25:Syringes, needles and catheters",,,
11.040,Medical equipment,11.040.25,"Syringes, needles and catheters",ISO 13926-1:1998,Pen systems — Part 1: Glass cylinders for pen-injectors for medical use,95.99,,Withdrawn,1998-07,2,4,"ISO/TC 76 Transfusion, infusion and injection, and blood processing equipment for medical and pharmaceutical use","11.040.25:Syringes, needles and catheters",,,
11.040,Medical equipment,11.040.25,"Syringes, needles and catheters",ISO 13926-1:2004,Pen systems — Part 1: Glass cylinders for pen-injectors for medical use,95.99,"ISO 13926-1:2004 specifies the design, dimensions, materials, performance and test methods for glass cylinders used with pen-injectors for medical use.
It applies to the primary container used in direct contact with the drug.",Withdrawn,2004-11,3,5,"ISO/TC 76 Transfusion, infusion and injection, and blood processing equipment for medical and pharmaceutical use","11.040.25:Syringes, needles and catheters",,,
11.040,Medical equipment,11.040.25,"Syringes, needles and catheters",ISO 13926-1:2018,Pen systems — Part 1: Glass cylinders for pen-injectors for medical use,60.60,"This document specifies the design, materials, performance and test methods, and gives recommendations for dimensions for glass cylinders used with pen-injectors for medical use.
It applies to the primary containers used in direct contact with the drug.",Published,2018-11,4,5,"ISO/TC 76 Transfusion, infusion and injection, and blood processing equipment for medical and pharmaceutical use","11.040.25:Syringes, needles and catheters",https://www.iso.org/obp/ui/#!iso:std:73466:en,,
11.040,Medical equipment,11.040.25,"Syringes, needles and catheters",ISO 13926-2:1999,Pen systems — Part 2: Plungers and discs for pen-injectors for medical use,95.99,,Withdrawn,1999-04,1,13,"ISO/TC 76 Transfusion, infusion and injection, and blood processing equipment for medical and pharmaceutical use","11.040.25:Syringes, needles and catheters",,,
11.040,Medical equipment,11.040.25,"Syringes, needles and catheters",ISO 13926-2:2011,Pen systems — Part 2: Plunger stoppers for pen-injectors for medical use,95.99,"ISO 13926-2:2011 specifies the shape, dimensions, material, performance requirements and labelling of plunger stoppers for pen-injectors for medical use.",Withdrawn,2011-04,2,7,"ISO/TC 76 Transfusion, infusion and injection, and blood processing equipment for medical and pharmaceutical use","11.040.25:Syringes, needles and catheters",,,
11.040,Medical equipment,11.040.25,"Syringes, needles and catheters",ISO 13926-2:2011/Amd 1:2015,Pen systems — Part 2: Plunger stoppers for pen-injectors for medical use — Amendment 1,95.99,,Withdrawn,2015-08,2,1,"ISO/TC 76 Transfusion, infusion and injection, and blood processing equipment for medical and pharmaceutical use","11.040.25:Syringes, needles and catheters",,,
11.040,Medical equipment,11.040.25,"Syringes, needles and catheters",ISO 13926-2:2017,Pen systems — Part 2: Plunger stoppers for pen-injectors for medical use,90.92,"ISO 13926-2:2017 specifies the material, performance requirements and labelling and gives recommendations for shape and dimensions of plunger stoppers for pen-injectors for medical use.
NOTE       The potency, purity, stability and safety of a medicinal product during its manufacture and storage can strongly be affected by the nature and performance of the primary packaging.",Published,2017-11,3,7,"ISO/TC 76 Transfusion, infusion and injection, and blood processing equipment for medical and pharmaceutical use","11.040.25:Syringes, needles and catheters",https://www.iso.org/obp/ui/#!iso:std:72576:en,,
11.040,Medical equipment,11.040.25,"Syringes, needles and catheters",ISO 13926-3:2012,Pen systems — Part 3: Seals for pen-injectors for medical use,95.99,,Withdrawn,2012-05,1,7,"ISO/TC 76 Transfusion, infusion and injection, and blood processing equipment for medical and pharmaceutical use","11.040.25:Syringes, needles and catheters",,,
11.040,Medical equipment,11.040.25,"Syringes, needles and catheters",ISO 13926-3:2019,Pen systems — Part 3: Seals for pen-injectors for medical use,60.60,"This document specifies the shape, dimensions, material, performance requirements and labelling of seals for pen-injectors for medical use.
NOTE       The potency, purity, stability and safety of a medicinal product during its manufacture and storage can be significantly affected by the nature and performance of the primary packaging.",Published,2019-05,2,7,"ISO/TC 76 Transfusion, infusion and injection, and blood processing equipment for medical and pharmaceutical use","11.040.25:Syringes, needles and catheters",https://www.iso.org/obp/ui/#!iso:std:75131:en,,
11.040,Medical equipment,11.040.25,"Syringes, needles and catheters",ISO 14972:1998,Sterile obturators for single use with over-needle peripheral intravascular catheters,90.93,"This International Standard specifies requirements for obturators, supplied in the sterile condition and intended for
single use for plugging over-needle peripheral catheters.
NOTE Attention is drawn to ISO 10555-5, which specifies requirements for over-needle peripheral catheters.",Published,1998-12,1,6,ISO/TC 84 Devices for administration of medicinal products and catheters,"11.040.25:Syringes, needles and catheters",https://www.iso.org/obp/ui/#!iso:std:26128:en,,
11.040,Medical equipment,11.040.25,"Syringes, needles and catheters",ISO 17218:2014,Sterile acupuncture needles for single use,90.93,ISO 17218:2014 specifies the requirements for the sterile acupuncture needles for single use (specialized for filiform needles).,Published,2014-02,1,24,ISO/TC 249 Traditional Chinese medicine,"11.040.25:Syringes, needles and catheters",https://www.iso.org/obp/ui/#!iso:std:59443:en,,
11.040,Medical equipment,11.040.25,"Syringes, needles and catheters",ISO 18250-1:2018,Medical devices — Connectors for reservoir delivery systems for healthcare applications — Part 1: General requirements and common test methods,60.60,"This document specifies general requirements for reservoir connectors, which convey fluids in healthcare applications. These reservoir connectors are used in medical devices or accessories intended for use with a patient.
This document also specifies the healthcare fields in which these reservoir connectors are intended to be used.
These healthcare fields of use include, but are not limited to, applications for
—          respiratory,
—          enteral,
—          neural,
—          intravascular,
—          citrate-based anticoagulant solution, and
—          irrigation.
Reservoir connectors as specified in this document are non-interconnectable with:
—          the reservoir connectors of every other application specified in the ISO 18250 series;
—          removable temperature sensor port specified in Annex EE of ISO 80601-2-74:2017;
—          the nipples specified in Annex B of ISO 17256[1];
unless otherwise specified in the ISO 18250 series.
Application parts of the ISO 18250 series can specify additional connectors with which reservoir connectors (as specified in those application parts) are to be non-interconnectable.
This document provides the methodology to assess non-interconnectable characteristics of reservoir connectors based on their inherent design and dimensions in order to reduce the risk of misconnections between medical devices or between accessories for different applications.
This document does not specify requirements for the medical devices or accessories that use these reservoir connectors. Such requirements are given in particular International Standards for specific medical devices or accessories.
NOTE 1    Manufacturers are encouraged to incorporate the reservoir connectors specified in the ISO 18250 series into medical devices, medical systems or accessories, even if currently not required by the relevant particular medical device standards. It is expected that when the relevant particular medical device standards are revised, requirements for reservoir connectors as specified in the series of standards will be included.
NOTE 2    The ISO 18250 series does not apply to screw and crown cork caps and necks as they are not connectors specific for medical devices. Examples of screw caps and necks are defined in DIN 55525, ASTM D2911/D2911M, DIN 6063-1, DIN 6063-2, DIN 168-1. Examples of crown cork caps and necks are defined in DIN 6094, ISO 12821, EN 14635.
This document also specifies the test methods to verify the common performance requirements for reservoir connectors. The performance requirements for these common test methods are specified in the application parts and not in the general part.
[1] Under preparation. Stage at the time of publication: ISO/DIS 17256:2017.",Published,2018-12,1,52,ISO/TC 210 Quality management and corresponding general aspects for products with a health purpose including medical devices,"11.040.25:Syringes, needles and catheters",https://www.iso.org/obp/ui/#!iso:std:67284:en,,
11.040,Medical equipment,11.040.25,"Syringes, needles and catheters",ISO 18250-3:2018,Medical devices — Connectors for reservoir delivery systems for healthcare applications — Part 3: Enteral applications,90.20,"This document specifies dimensions and requirements for the design and functional performance of connectors intended to be used on enteral reservoirs.
This document does not specify the dimensions and requirements for the medical devices or accessories that use these connectors. Such requirements are given in particular International Standards for specific medical devices or accessories.
NOTE 1    Manufacturers are encouraged to incorporate the connectors specified in this document into enteral medical devices or accessories, even if not currently required by the particular medical device Standards. It is expected that when the particular medical device Standards are revised, requirements for reservoir connectors, as specified in ISO 18250, will be included.
This document does not apply to screw and crown cork caps and necks as they are not connectors specific for medical devices. They rather belong to the food and beverage packaging domain despite often enteral giving sets are required to connect with them.
NOTE 2    Examples of screw caps and necks are defined in DIN 55525:1988, ASTM D2911-94 (reapproved 2001), DIN 6063-1:2004, DIN 6063-2:2004, DIN 168-1:1998. Examples of crown cork caps and necks are defined in DIN 6094-1:1998, ISO 12821:2013, EN 14635:2010.",Published,2018-06,1,39,ISO/TC 210 Quality management and corresponding general aspects for products with a health purpose including medical devices,"11.040.25:Syringes, needles and catheters",https://www.iso.org/obp/ui/#!iso:std:61895:en,,
11.040,Medical equipment,11.040.25,"Syringes, needles and catheters",ISO 18250-6:2019,Medical devices — Connectors for reservoir delivery systems for healthcare applications — Part 6: Neural applications,60.60,This document specifies the connectors recommended for the outlet ports of neural reservoirs and inlet ports of neural giving sets.,Published,2019-03,1,6,ISO/TC 210 Quality management and corresponding general aspects for products with a health purpose including medical devices,"11.040.25:Syringes, needles and catheters",https://www.iso.org/obp/ui/#!iso:std:69731:en,,
11.040,Medical equipment,11.040.25,"Syringes, needles and catheters",ISO 18250-7:2018,Medical devices — Connectors for reservoir delivery systems for healthcare applications — Part 7: Connectors for intravascular infusion,60.60,"This document specifies the interface dimensions and requirements for the design and functional performance of connectors intended to be used to connect intravascular infusion sets to intravascular infusion reservoirs.
This document does not specify the dimensions and requirements for the medical devices or accessories that use these connectors. Such requirements are given in particular international standards for specific medical devices or accessories.
EXAMPLES     Medical devices which may use intravascular reservoir connectors are the following:
—           Administration ports on IV fluid reservoirs and the mating spikes of IV administration/intravascular infusion sets/lines, e.g., IV bags/containers and the spike inlet ends of IV sets;
—           Devices intended to be connected in series between the administration port of IV fluid reservoirs and the mating spikes of IV administration/giving lines;
—           Syringes and syringe IV sets utilizing Luer connectors.
The following connectors are excluded from the scope of this document:
—          Stoppers for bottles as specified in ISO 8536-2;
—          Compounding/admixture ports on IV reservoirs and intended mating devices.
EXAMPLES     Rubber stoppers used for injection into the reservoir and the mating pharmacy admixture devices (syringes, needles, reconstitution devices, and other ancillary equipment used to access the compounding or admixture ports).
—          The fill ports of non-powered (i.e. elastomeric) pumps.
NOTE 1    Details of alternative spikes that are in common use are located in Annex G for informational purposes.
NOTE 2    Manufacturers are encouraged to incorporate the connectors specified in this document into intravascular infusion medical devices or accessories, even if not currently required by the particular medical device standards. It is expected that when the particular medical device standards are revised, requirements for reservoir connectors, as specified in ISO 18250, will be included.",Published,2018-12,1,34,ISO/TC 210 Quality management and corresponding general aspects for products with a health purpose including medical devices,"11.040.25:Syringes, needles and catheters",https://www.iso.org/obp/ui/#!iso:std:69729:en,,
11.040,Medical equipment,11.040.25,"Syringes, needles and catheters",ISO 18250-8:2018,Medical devices — Connectors for reservoir delivery systems for healthcare applications — Part 8: Citrate-based anticoagulant solution for apheresis applications,60.60,"This document specifies dimensions and requirements for the design and functional performance of apheresis anticoagulant (AC) reservoir connectors.
This document does not specify the dimensions and requirements for the medical devices or accessories that use these connectors. Such requirements are given in particular International Standards for specific medical devices or accessories.
The following examples of medical devices are intended to use the connectors of this document:
—          Apheresis tubing sets and mating reservoirs containing citrate-based anticoagulant solution.
—          Apheresis tubing sets may include, but are not limited to those for use in blood collection, therapeutic applications, and plasma collection.
Some apheresis sets are manufactured with a pre-connected reservoir containing citrate-based anticoagulant solution. These medical devices are not intended to use the connectors of this document.
NOTE       Manufacturers are encouraged to incorporate the connectors specified in this document into apheresis devices or accessories, even if not currently required by the particular medical device standards. It is expected that when the particular medical device standards are revised, requirements for apheresis AC reservoir connectors, will be included.",Published,2018-08,1,24,ISO/TC 210 Quality management and corresponding general aspects for products with a health purpose including medical devices,"11.040.25:Syringes, needles and catheters",https://www.iso.org/obp/ui/#!iso:std:65684:en,,
11.040,Medical equipment,11.040.25,"Syringes, needles and catheters",ISO 18746:2016,Traditional Chinese medicine — Sterile intradermal acupuncture needles for single use,90.93,"ISO 18746:2016 specifies the requirements of sterile intradermal acupuncture needle for single use as a medical device, including the following factors:
a)    size;
b)    material;
c)    quality;
d)    testing methods;
e)    packing;
f)     identification.",Published,2016-08,1,9,ISO/TC 249 Traditional Chinese medicine,"11.040.25:Syringes, needles and catheters",https://www.iso.org/obp/ui/#!iso:std:63263:en,,
11.040,Medical equipment,11.040.25,"Syringes, needles and catheters",ISO 20487:2019,Traditional Chinese medicine — Test method of single-use acupuncture needles for electrical stimulation,60.60,"This document specifies a test method for characterizing the corrosion resistance of single-use acupuncture needles intended for use in electro-acupuncture treatment.
This document is applicable only to testing of acupuncture needles that conform with ISO 17218.
This document does not specify pass/fail criteria. Also, it is not intended to provide safety information for real clinical practice.",Published,2019-05,1,10,ISO/TC 249 Traditional Chinese medicine,"11.040.25:Syringes, needles and catheters",https://www.iso.org/obp/ui/#!iso:std:68192:en,,
11.040,Medical equipment,11.040.25,"Syringes, needles and catheters",ISO 20695:2020,Enteral feeding systems — Design and testing,60.60,"This document specifies requirements for enteral feeding systems comprising enteral giving sets, enteral extension sets, enteral syringes, enteral feeding catheters, and enteral accessories.
This document is not applicable to oral syringes.",Published,2020-03,1,43,ISO/TC 84 Devices for administration of medicinal products and catheters,"11.040.25:Syringes, needles and catheters",https://www.iso.org/obp/ui/#!iso:std:68853:en,,
11.040,Medical equipment,11.040.25,"Syringes, needles and catheters",ISO 20696:2018,Sterile urethral catheters for single use,90.20,"This document specifies requirements and test methods for sterile urethral catheters for single use, with or without a balloon.
This document does not include drainage catheters covered by ISO 20697, e.g. ureteral catheters, nephrostomy catheters, and suprapubic catheters. This document also excludes ureteral stents.
NOTE       Ureteral stents are covered in ASTM F1828‑97.",Published,2018-06,1,33,ISO/TC 84 Devices for administration of medicinal products and catheters,"11.040.25:Syringes, needles and catheters",https://www.iso.org/obp/ui/#!iso:std:68854:en,2019-12,2019-12
11.040,Medical equipment,11.040.25,"Syringes, needles and catheters",ISO 20697:2018,Sterile drainage catheters and accessory devices for single use,90.20,"This document specifies requirements for sterile, single use drainage catheters, wound and fluid accumulation drainage systems, surgical drainage catheters and their components, where the catheter is placed in a body cavity or wound, surgically or percutaneously, for drainage of fluid or air to the exterior.
The drainage catheter is left to drain naturally or connected to a suction source for faster tissue granulation.
This document is not applicable to:
a)    suction catheters;
b)    tracheal catheters;
c)    urethral catheters;
NOTE       See ISO 20696.
d)    ureteral stents, biliary stents, and other stents;
NOTE       See ISO 14630 and ASTM F1828‑97 for stents requirements.
e)    drainage catheters placed in digestive tracts percutaneously with gastrostomy technique;
f)     neuraxial catheters used for removal of cerebrospinal fluid;
NOTE       See ISO 20698.
g)    enteral catheters used for removal of solutions or substances from the gastrointestinal tract;
NOTE       See ISO 20695.
h)    coatings.",Published,2018-06,1,37,ISO/TC 84 Devices for administration of medicinal products and catheters,"11.040.25:Syringes, needles and catheters",https://www.iso.org/obp/ui/#!iso:std:68855:en,2018-08,2018-08
11.040,Medical equipment,11.040.25,"Syringes, needles and catheters",ISO 20698:2018,Catheter systems for neuraxial application — Sterile and single-use catheters and accessories,60.60,"This document specifies general requirements and test methods for catheter systems intended to be used in neuraxial applications.
This document specifies requirements for intended performance, design attributes, materials, design evaluation, manufacture, sterilization, packaging and information supplied by the manufacturer, and tests to demonstrate conformity with these requirements.
Catheters for neuraxial applications are intended to administer medications directly into neuraxial sites, to deliver wound infiltration analgesia and to other regional analgesia procedures or to monitor or remove fluids from neuraxial sites for therapeutic or diagnostic purposes.
NOTE 1    Sites for the neuraxial application include the spine, intrathecal or subarachnoid space and the epi-, extra-, or peri-dural space (applications mentioned are just examples and not an exhaustive list). In neuraxial application, anaesthetics/analgesics can be administered regionally affecting a large part of the body, such as a limb, and include plexus blocks, such as the brachial plexus blocks or single nerve blocks. Neuraxial application procedures include continuous infusion of wounds with local anaesthetic agents.
NOTE 2    Local anaesthesia/analgesia injected hypodermically and systemic injection of anaesthetics are not considered neuraxial applications.
This document is applicable to the following types of devices:
—          spinal/epidural catheter systems; 
—          spinal/epidural port catheter systems;
—          peripheral nerve block catheter systems;
—          wound infusion catheter systems (also known as catheters for Surgical Site Continuous Analgesia).
This document is not applicable to:
—          pumps and other devices intended to deliver medications through these catheter systems;
—          catheters generically intended to administer substances into the body which are not intended to interact directly with the nervous system, but which have an indirect effect on nervous system (e.g. cannula needles);
—          drainage catheters for any other application than neuraxial.",Published,2018-07,1,20,ISO/TC 84 Devices for administration of medicinal products and catheters,"11.040.25:Syringes, needles and catheters",https://www.iso.org/obp/ui/#!iso:std:68856:en,,
11.040,Medical equipment,11.040.25,"Syringes, needles and catheters",ISO 22236:2020,Traditional Chinese medicine —Thread-embedding acupuncture needle for single use,60.60,"This document specifies the safety requirements for the thread-embedding acupuncture needle.
It is applicable to only the needle part of thread-embedding acupuncture needles and excludes medical thread.",Published,2020-06,1,10,ISO/TC 249 Traditional Chinese medicine,"11.040.25:Syringes, needles and catheters",https://www.iso.org/obp/ui/#!iso:std:72919:en,,
11.040,Medical equipment,11.040.25,"Syringes, needles and catheters",ISO/DIS 23217.2,Injection systems for self-administration by paediatric patients — Guidelines for design,40.60,,Under development,,1,41,ISO/TC 84 Devices for administration of medicinal products and catheters,"11.040.25:Syringes, needles and catheters",https://www.iso.org/obp/ui/#!iso:std:74899:en,,
11.040,Medical equipment,11.040.25,"Syringes, needles and catheters",ISO 23908:2011,"Sharps injury protection — Requirements and test methods — Sharps protection features for single-use hypodermic needles, introducers for catheters and needles used for blood sampling",90.92,"ISO 23908:2011 gives requirements and test methods for evaluating the performance parameters of sharps injury protection features, whether active or passive in design, for medical devices containing (sharp) hypodermic needles for single use, introducers for catheters and lancets, and other needles used in blood sampling. The sharps injury protection devices it covers may be provided integral to the device or combined with the device prior to use to achieve the sharps injury protection.
It does not give requirements for the storage and handling of the sharps protection before its intended use, or for the medical device itself.",Published,2011-06,1,11,ISO/TC 84 Devices for administration of medicinal products and catheters,"11.040.25:Syringes, needles and catheters|11.040.99:Other medical equipment",https://www.iso.org/obp/ui/#!iso:std:50680:en,,
11.040,Medical equipment,11.040.25,"Syringes, needles and catheters",ISO/CD 23908,"Sharps injury protection — Requirements and test methods — Sharps protection features for single-use needles, introducers for catheters and needles used for blood testing, monitoring, sampling and medical substance administration",30.60,"This document provides clear methods for performance-testing for sharps-injury protection mechanisms, whether active or passive in design, for medical devices containing single-used ‘sharps’ for administration and/or extraction of body/blood fluids and/or medicinal substances. Testing will confirm usability and elimination of exposure to, and risk of accidental injury from, contaminated ‘sharps’ during the period of intended use, including the paths to final disposal.",Under development,,2,,ISO/TC 84 Devices for administration of medicinal products and catheters,"11.040.25:Syringes, needles and catheters",,,
11.040,Medical equipment,11.040.25,"Syringes, needles and catheters",ISO 23958-1:2022,Traditional Chinese medicine — Dermal needles for single use — Part 1: Tapping-type,60.60,"This document specifies the particular requirements for the basic safety and essential performance of tapping-type dermal needles for single use. It applies to tapping-type dermal needles that have the capacity to penetrate the skin.
It specifies structure and dimension, materials, and performance requirements for appearance and cleanliness, corrosion resistance, sterility, packaging and identification, transit and storage of tapping-type dermal needles.
It does not apply to roller-type dermal needles, reusable tapping-type dermal needles or devices incorporating a detachable tapping head.",Published,2022-05,1,10,ISO/TC 249 Traditional Chinese medicine,"11.040.25:Syringes, needles and catheters",https://www.iso.org/obp/ui/#!iso:std:77465:en,,
11.040,Medical equipment,11.040.25,"Syringes, needles and catheters",ISO 23958-2:2022,Traditional Chinese medicine — Dermal needles for single use — Part 2: Roller-type,60.60,"This document specifies the particular requirements for the basic safety and essential performance of roller-type dermal needles for single use. It applies to roller-type dermal needles that have the capacity to penetrate the skin.
It specifies structure and dimension, materials, and performance requirements for appearance and cleanliness, corrosion resistance, sterility, packaging and identification, transit and storage of roller-type dermal needles.
It does not apply to tapping-type dermal needles or reusable roller-type dermal needles.",Published,2022-05,1,9,ISO/TC 249 Traditional Chinese medicine,"11.040.25:Syringes, needles and catheters",https://www.iso.org/obp/ui/#!iso:std:77471:en,,
11.040,Medical equipment,11.040.25,"Syringes, needles and catheters",ISO 26825:2008,"Anaesthetic and respiratory equipment — User-applied labels for syringes containing drugs used during anaesthesia — Colours, design and performance",95.99,"ISO 26825:2008 gives requirements for labels which the user attaches to syringes so that the contents can be identified just before use during anaesthesia. It covers the colour, size, design and general properties of the label and the typographical characteristics of the wording for the drug name.
ISO 26825:2008 does not give requirements for labels applied to a syringe or cartridge by the drug manufacturer.",Withdrawn,2008-08,1,5,ISO/TC 121/SC 1 Breathing attachments and anaesthetic machines,"11.040.10:Anaesthetic, respiratory and reanimation equipment|11.040.25:Syringes, needles and catheters",,2009-09,2009-09
11.040,Medical equipment,11.040.25,"Syringes, needles and catheters",ISO 26825:2020,"Anaesthetic and respiratory equipment — User-applied labels for syringes containing drugs used during anaesthesia — Colours, design and performance",60.60,"This document gives requirements for labels attached to syringes so that the contents can be identified just before use during anaesthesia. It covers the colour, size, design and general properties of the label and the typographical characteristics of the wording for the drug name.
NOTE    National or regional regulations might require additional labelling, which can include bar coding. No requirements for this additional labelling are given.",Published,2020-10,2,9,ISO/TC 121/SC 1 Breathing attachments and anaesthetic machines,"11.040.10:Anaesthetic, respiratory and reanimation equipment|11.040.25:Syringes, needles and catheters",https://www.iso.org/obp/ui/#!iso:std:76678:en,,
11.040,Medical equipment,11.040.25,"Syringes, needles and catheters",ISO 80369-3:2016,Small-bore connectors for liquids and gases in healthcare applications — Part 3: Connectors for enteral applications,90.60,"ISO 80369-3:2016 specifies the dimensions and requirements for the design and functional performance of small-bore connectors intended to be used for connections on enteral medical devices and accessories.
NOTE 1       Enteral medical devices include enteral feeding sets, enteral drainage sets, enteral syringes, and patient interface devices including access ports.
It does not specify the dimensions and requirements for the medical devices or accessories that use these connectors. Such requirements are given in particular International Standards for specific medical devices or accessories.
It does not specify requirements for small-bore connectors that are used for the following:
-      gastric suction-only medical devices;
-      oral-only medical devices;
EXAMPLE       An oral tip syringe that is not intended to connect to another medical device. It is intended to administer directly to the patient's mouth.
-      pressurizing and depressurizing the retention mechanism (e.g. balloon) used to hold invasive enteral medical devices in place;
-      medical devices for rectal drainage, rectal administration of medicines or fluid, and any other rectal access medical device;
-      gastrointestinal endoscopy equipment;
-      skin level gastrostomy medical devices.
NOTE 2       Manufacturers are encouraged to incorporate the small-bore connectors specified in ISO 80369-3 :2016 into enteral medical devices or accessories, even if currently not required by the relevant particular medical device standards. It is expected that when the relevant particular medical device standards are revised, requirements for small-bore connectors, as specified in ISO 80369, will be included.",Published,2016-07,1,39,ISO/TC 210 Quality management and corresponding general aspects for products with a health purpose including medical devices,"11.040.25:Syringes, needles and catheters",https://www.iso.org/obp/ui/#!iso:std:50731:en,,
11.040,Medical equipment,11.040.25,"Syringes, needles and catheters",ISO 80369-3:2016/Amd 1:2019,Small-bore connectors for liquids and gases in healthcare applications — Part 3: Connectors for enteral applications — Amendment 1,60.60,,Published,2019-02,1,6,ISO/TC 210 Quality management and corresponding general aspects for products with a health purpose including medical devices,"11.040.25:Syringes, needles and catheters",https://www.iso.org/obp/ui/#!iso:std:74038:en,,
11.040,Medical equipment,11.040.25,"Syringes, needles and catheters",IEC 80369-5:2016,Small-bore connectors for liquids and gases in healthcare applications — Part 5: Connectors for limb cuff inflation applications,90.93,"IEC 80369-5:2016 specifies dimensions and requirements for the design and functional performance of SMALL-BORE CONNECTORS intended to be used for CONNECTIONS in limb cuff inflation APPLICATIONS of  
MEDICAL DEVICES and ACCESSORIES. Limb cuff inflation APPLICATIONS include CONNECTIONS between a sphygmomanometer and its cuff.",Published,2016-03,1,74,ISO/TC 210 Quality management and corresponding general aspects for products with a health purpose including medical devices,"11.040.25:Syringes, needles and catheters",https://www.iso.org/obp/ui/#!iso:std:50733:en,,
11.040,Medical equipment,11.040.25,"Syringes, needles and catheters",IEC 80369-5:2016/Cor 1:2017,Small-bore connectors for liquids and gases in healthcare applications — Part 5: Connectors for limb cuff inflation applications — Technical Corrigendum 1,60.60,,Published,2017-03,1,1,ISO/TC 210 Quality management and corresponding general aspects for products with a health purpose including medical devices,"11.040.25:Syringes, needles and catheters",https://www.iso.org/obp/ui/#!iso:std:73316:en,,
11.040,Medical equipment,11.040.25,"Syringes, needles and catheters",IEC 80369-5:2016/Cor 2:2021,Small-bore connectors for liquids and gases in healthcare applications — Part 5: Connectors for limb cuff inflation applications — Technical Corrigendum 2,60.60,,Published,2021-05,1,1,ISO/TC 210 Quality management and corresponding general aspects for products with a health purpose including medical devices,"11.040.25:Syringes, needles and catheters",https://www.iso.org/obp/ui/#!iso:std:83067:en,,
11.040,Medical equipment,11.040.25,"Syringes, needles and catheters",ISO 80369-6:2016,Small bore connectors for liquids and gases in healthcare applications — Part 6: Connectors for neuraxial applications,90.92,"ISO 80369-6:2016 specifies requirements for small-bore connectors intended to be used for connections in neuraxial applications. Neuraxial applications involve the use of medical devices intended to administer medications to neuraxial sites, wound infiltration anaesthesia delivery, and other regional anaesthesia procedures or to monitor or remove cerebro-spinal fluid for therapeutic or diagnostic purposes.
NOTE 1       Sites for the neuraxial application include the spine, intrathecal or subarachnoid space, ventricles of the brain, and the epi-, extra-, or peri-dural space. Neuraxial application anaesthetics can be administered regionally affecting a large part of the body, such as a limb, and include plexus blocks, such as the branchial plexus blocks or single nerve blocks. Neuraxial application procedures include continuous infusion of wounds with local anaesthetic agents.
NOTE 2       For the purposes of this part of ISO 80369, local anaesthesia injected hypodermically is not considered a neuraxial application.
EXAMPLES     Intended administration includes intrathecal chemotherapy, local anaesthetics, radiological contrast agents, antibiotics, analgesics.
This part of ISO 80369 specifies dimensions and requirements for the design and functional performance of these small-bore connectors intended to be used with medical devices.
This part of ISO 80369 does not specify requirements for the medical devices or accessories that use these connectors. Such requirements are given in particular International Standards for specific medical devices or accessories.
NOTE 3       Manufacturers are encouraged to incorporate the small-bore connectors specified in this part of ISO 80369 into medical devices, medical systems, or accessories, even if currently not required by the relevant particular medical device standards. It is expected that when the relevant particular medical device standards are revised, requirements for small-bore connectors, as specified in this part of ISO 80369, will be included. Furthermore, it is recognized that standards need to be developed for many medical devices used for neuraxial applications.
NOTE 4       ISO 80369-1:2010, 5.8, specifies alternative methods of compliance with ISO 80369-1:2010, for small-bore connectors intended for use with neuraxial application medical devices or accessories, which do not comply with this part of ISO 80369.",Published,2016-03,1,45,ISO/TC 210 Quality management and corresponding general aspects for products with a health purpose including medical devices,"11.040.25:Syringes, needles and catheters",https://www.iso.org/obp/ui/#!iso:std:50734:en,2016-11,2016-11
