ics_title,facility_title,standard_title,standard_stage,facility_description,standard_status,is_deleted
11.060,11.060.20,ISO 21533:2003/Cor 1:2009,95.99,"Dental equipmentDental radiographic films, see 37.040.25",Withdrawn,False
11.060,11.060.20,ISO 21533:2018,90.60,"Dental equipmentDental radiographic films, see 37.040.25",Published,False
11.060,11.060.20,ISO 21671:2006,90.93,"Dental equipmentDental radiographic films, see 37.040.25",Published,False
11.060,11.060.20,ISO 21671:2006/Amd 1:2011,60.60,"Dental equipmentDental radiographic films, see 37.040.25",Published,False
11.060,11.060.20,ISO 21850-1:2020,60.60,"Dental equipmentDental radiographic films, see 37.040.25",Published,False
11.060,11.060.20,ISO/CD 21850-2,30.60,"Dental equipmentDental radiographic films, see 37.040.25",Under development,False
11.060,11.060.20,ISO 22052:2020,60.60,"Dental equipmentDental radiographic films, see 37.040.25",Published,False
11.060,11.060.20,ISO 22570:2020,60.60,"Dental equipmentDental radiographic films, see 37.040.25",Published,False
11.060,11.060.20,ISO/TS 22595-1:2006,95.99,"Dental equipmentDental radiographic films, see 37.040.25",Withdrawn,False
11.060,11.060.20,ISO/TS 22595-2:2008,95.99,"Dental equipmentDental radiographic films, see 37.040.25",Withdrawn,False
11.060,11.060.20,ISO 23402-1:2020,60.60,"Dental equipmentDental radiographic films, see 37.040.25",Published,False
11.060,11.060.20,ISO/CD 23402-2.2,30.60,"Dental equipmentDental radiographic films, see 37.040.25",Under development,False
11.060,11.060.20,ISO/DIS 23402-3,40.60,"Dental equipmentDental radiographic films, see 37.040.25",Under development,False
11.060,11.060.20,ISO 23450:2021,60.60,"Dental equipmentDental radiographic films, see 37.040.25",Published,False
11.060,11.060.20,ISO 27020:2019,60.60,"Dental equipmentDental radiographic films, see 37.040.25",Published,False
11.060,11.060.20,IEC 80601-2-60:2012,95.99,"Dental equipmentDental radiographic films, see 37.040.25",Withdrawn,False
11.060,11.060.20,IEC 80601-2-60:2019,60.60,"Dental equipmentDental radiographic films, see 37.040.25",Published,False
11.060,11.060.25,ISO 6360-1:2004,90.93,Dental instruments,Published,False
11.060,11.060.25,ISO 6360-1:2004/Cor 1:2007,60.60,Dental instruments,Published,False
11.060,11.060.25,ISO 6360-2:2004,90.93,Dental instruments,Published,False
11.060,11.060.25,ISO 6360-2:2004/Amd 1:2011,60.60,Dental instruments,Published,False
11.060,11.060.25,ISO 6360-3:2005,90.93,Dental instruments,Published,False
11.060,11.060.25,ISO 6360-6:2004,90.93,Dental instruments,Published,False
11.060,11.060.25,ISO 6360-7:2006,90.93,Dental instruments,Published,False
11.060,11.060.25,ISO 13504:2012,90.93,Dental instruments,Published,False
11.060,11.060.25,ISO 14457:2012,95.99,Dental instruments,Withdrawn,False
11.060,11.060.25,ISO 14457:2017,90.60,Dental instruments,Published,False
11.060,11.060.25,ISO 18397:2016,90.92,Dental instruments,Published,False
11.060,11.060.25,ISO/CD 18397,30.60,Dental instruments,Under development,False
11.060,11.060.25,ISO 19490:2017,90.92,Dental instruments,Published,False
11.060,11.060.25,ISO 21672-1:2012,90.92,Dental instruments,Published,False
11.060,11.060.25,ISO 21672-2:2012,90.60,Dental instruments,Published,False
11.060,11.060.25,ISO 22374:2005,95.99,Dental instruments,Withdrawn,False
11.060,11.060.25,ISO 22569:2020,60.60,Dental instruments,Published,False
11.060,11.060.25,ISO 23445:2021,60.60,Dental instruments,Published,False
11.060,11.060.25,ISO 23940:2021,60.60,Dental instruments,Published,False
11.080,11.080.01,ISO/TS 5111:2022,60.60,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.080,11.080.01,ISO 11134:1994,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO 11135-1:2007,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO/TS 11135-2:2008,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO/TS 11135-2:2008/Cor 1:2009,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO 11135:1994,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO 11135:1994/Cor 1:1994,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO 11135:2014,90.92,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.080,11.080.01,ISO 11135:2014/Amd 1:2018,60.60,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.080,11.080.01,ISO 11137-1:2006,90.92,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.080,11.080.01,ISO 11137-1:2006/Amd 1:2013,60.60,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.080,11.080.01,ISO 11137-1:2006/Amd 2:2018,60.60,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.080,11.080.01,ISO 11137-2:2006,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO 11137-2:2006/Cor 1:2009,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO 11137-2:2012,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO 11137-2:2013,90.93,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.080,11.080.01,ISO 11137-2:2013/Amd 1:2022,60.60,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.080,11.080.01,ISO 11137-3:2006,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO 11137-3:2017,90.93,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.080,11.080.01,ISO/TS 11137-4:2020,90.20,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.080,11.080.01,ISO 11137:1995,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO 11137:1995/Amd 1:2001,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO 11137:1995/Cor 1:1997,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO 11138-1:1994,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO 11138-1:2006,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO 11138-1:2017,90.93,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.080,11.080.01,ISO 11138-2:1994,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO 11138-2:2006,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO 11138-2:2017,90.93,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.080,11.080.01,ISO 11138-3:1995,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO 11138-3:2006,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO 11138-3:2017,90.93,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.080,11.080.01,ISO 11138-4:2006,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO 11138-4:2017,90.93,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.080,11.080.01,ISO 11138-5:2006,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO 11138-5:2017,90.93,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.080,11.080.01,ISO 11138-7:2019,60.60,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.080,11.080.01,ISO 11138-8:2021,60.60,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.080,11.080.01,ISO 11139:2018,60.60,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.080,11.080.01,ISO/TS 11139:2001,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO 11139:2018/DAmd 1,40.60,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Under development,False
11.080,11.080.01,ISO/TS 11139:2006,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO 11140-1:1995,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.100,11.100.10,ISO 15198:2004,90.93,In vitro diagnostic test systems,Published,False
11.080,11.080.01,ISO 11140-1:1995/Amd 1:1998,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO 11140-1:2005,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO 11140-1:2014,90.93,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.080,11.080.01,ISO 11140-2:1998,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO 11140-3:2000,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO 11140-3:2007,90.92,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.080,11.080.01,ISO 11140-3:2007/Cor 1:2007,60.60,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.080,11.080.01,ISO/CD 11140-3,30.60,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Under development,False
11.080,11.080.01,ISO 11140-4:2001,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO 11140-4:2007,90.92,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.080,11.080.01,ISO/CD 11140-4,30.60,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Under development,False
11.080,11.080.01,ISO 11140-5:2000,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO 11140-5:2007,90.92,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.080,11.080.01,ISO/CD 11140-5,30.60,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Under development,False
11.080,11.080.01,ISO 11140-6:2022,60.60,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.080,11.080.01,ISO 11737-1:1995,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO 11737-1:2006,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO 11737-1:2006/Cor 1:2007,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO 11737-1:2018,90.60,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.080,11.080.01,ISO 11737-1:2018/Amd 1:2021,60.60,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.080,11.080.01,ISO 11737-2:1998,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO 11737-2:2009,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO 11737-2:2019,60.60,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.080,11.080.01,ISO 11737-3,60.00,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Under development,False
11.080,11.080.01,ISO 11737-3:2004,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO 13004:2022,60.60,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.080,11.080.01,ISO/TS 13004:2013,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO 13408-1:1998,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO 13408-1:2008,90.92,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.080,11.080.01,ISO 13408-1:2008/Amd 1:2013,60.60,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.080,11.080.01,ISO 13408-1,60.00,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Under development,False
11.080,11.080.01,ISO 13408-2:2003,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO 13408-2:2018,90.60,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.080,11.080.01,ISO 13408-3:2006,90.93,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.080,11.080.01,ISO 13408-4:2005,90.93,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.080,11.080.01,ISO 13408-5:2006,90.93,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.080,11.080.01,ISO 13408-6:2005,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO 13408-6:2005/Amd 1:2013,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO 13408-6:2021,60.60,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.080,11.080.01,ISO 13408-7:2012,90.60,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.100,11.100.10,ISO 16256:2012,95.99,In vitro diagnostic test systems,Withdrawn,False
11.080,11.080.01,ISO/TR 13409:1996,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO/TS 13409:2002,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO 13683:1997,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO 14160:1998,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO 14160:2011,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO 14160:2020,60.60,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.080,11.080.01,ISO 14161:2000,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO 14161:2009,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO 14937:2000,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO 14937:2000/Cor 1:2003,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO 14937:2009,90.93,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.080,11.080.01,ISO/TS 15843:2000,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO/TR 15844:1998,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO 15882:2003,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO 15882:2008,90.60,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.080,11.080.01,ISO 17664-1:2021,60.60,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.080,11.080.01,ISO 17664-2:2021,60.60,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.080,11.080.01,ISO 17664:2004,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO 17664:2017,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO 17665-1:2006,90.92,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.080,11.080.01,ISO/TS 17665-2:2009,90.92,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.080,11.080.01,ISO/TS 17665-3:2013,90.92,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.080,11.080.01,ISO/FDIS 17665,50.00,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Under development,False
11.080,11.080.01,ISO 18362:2016,90.93,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.080,11.080.01,ISO 18362:2016/Amd 1:2022,60.60,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.080,11.080.01,ISO 18472:2006,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO 18472:2018,60.60,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.080,11.080.01,ISO/TS 19930:2017,90.93,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.080,11.080.01,ISO/TR 20520:2018,60.60,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.080,11.080.01,ISO 20857:2010,90.93,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.080,11.080.01,ISO/TS 21387:2020,60.60,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.080,11.080.01,ISO/TS 22421:2021,60.60,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.080,11.080.01,ISO 22441:2022,60.60,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.080,11.080.01,ISO/TS 22456:2021,60.60,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.080,11.080.01,ISO 25424:2009,95.99,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Withdrawn,False
11.080,11.080.01,ISO 25424:2018,60.60,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.080,11.080.01,ISO 25424:2018/Amd 1:2022,60.60,"Sterilization and disinfection in generalIncluding sterilization methods, air quality of surgery rooms, etc.",Published,False
11.080,11.080.10,ISO 15883-1:2006,90.92,Sterilizing equipment,Published,False
11.080,11.080.10,ISO 15883-1:2006/Amd 1:2014,60.60,Sterilizing equipment,Published,False
11.080,11.080.10,ISO/FDIS 15883-1,50.00,Sterilizing equipment,Under development,False
11.080,11.080.10,ISO 15883-2:2006,90.92,Sterilizing equipment,Published,False
11.080,11.080.10,ISO 15883-4:2008,95.99,Sterilizing equipment,Withdrawn,False
11.080,11.080.10,ISO 15883-4:2018,60.60,Sterilizing equipment,Published,False
11.080,11.080.10,ISO 15883-5:2021,60.60,Sterilizing equipment,Published,False
11.080,11.080.10,ISO/TS 15883-5:2005,95.99,Sterilizing equipment,Withdrawn,False
11.080,11.080.10,ISO 15883-6:2011,90.92,Sterilizing equipment,Published,False
11.080,11.080.10,ISO 15883-7:2016,90.92,Sterilizing equipment,Published,False
11.080,11.080.10,ISO/CD 15883-7,30.60,Sterilizing equipment,Under development,False
11.080,11.080.30,ISO 11607-1:2006,95.99,Sterilized packaging,Withdrawn,False
11.080,11.080.30,ISO 11607-1:2006/Amd 1:2014,95.99,Sterilized packaging,Withdrawn,False
11.080,11.080.30,ISO 11607-1:2019,60.60,Sterilized packaging,Published,False
11.080,11.080.30,ISO 11607-2:2006,95.99,Sterilized packaging,Withdrawn,False
11.080,11.080.30,ISO 11607-2:2006/Amd 1:2014,95.99,Sterilized packaging,Withdrawn,False
11.080,11.080.30,ISO 11607-2:2019,60.60,Sterilized packaging,Published,False
11.080,11.080.30,ISO 11607:1997,95.99,Sterilized packaging,Withdrawn,False
11.080,11.080.30,ISO 11607:2003,95.99,Sterilized packaging,Withdrawn,False
11.080,11.080.30,ISO/TS 16775:2014,95.99,Sterilized packaging,Withdrawn,False
11.080,11.080.30,ISO/TS 16775:2021,60.60,Sterilized packaging,Published,False
11.080,11.080.30,ISO 21881:2019,60.60,Sterilized packaging,Published,False
11.080,11.080.30,ISO 21881:2019/CD Amd 1,30.99,Sterilized packaging,Under development,False
11.080,11.080.30,ISO 21882:2019,60.60,Sterilized packaging,Published,False
11.100,11.100.01,ISO/TS 5798:2022,60.60,Laboratory medicine in general,Published,False
11.100,11.100.01,ISO 7713:1985,90.93,Laboratory medicine in general,Published,False
11.100,11.100.01,ISO 12771:1997,90.93,Laboratory medicine in general,Published,False
11.100,11.100.01,ISO 12772:1997,90.93,Laboratory medicine in general,Published,False
11.100,11.100.01,ISO 13130:2011,90.93,Laboratory medicine in general,Published,False
11.100,11.100.01,ISO 13132:2011,95.99,Laboratory medicine in general,Withdrawn,False
11.100,11.100.01,ISO 13132:2023,60.60,Laboratory medicine in general,Published,False
11.100,11.100.01,ISO 15189:2003,95.99,Laboratory medicine in general,Withdrawn,False
11.100,11.100.01,ISO 15189:2007,95.99,Laboratory medicine in general,Withdrawn,False
11.100,11.100.01,ISO 15189:2012,95.99,Laboratory medicine in general,Withdrawn,False
11.100,11.100.01,ISO 15189:2022,60.60,Laboratory medicine in general,Published,False
11.100,11.100.01,ISO 15190:2003,95.99,Laboratory medicine in general,Withdrawn,False
11.100,11.100.01,ISO 15190:2020,60.60,Laboratory medicine in general,Published,False
11.100,11.100.01,ISO/TS 17518:2015,90.93,Laboratory medicine in general,Published,False
11.100,11.100.01,ISO/TS 17822-1:2014,95.99,Laboratory medicine in general,Withdrawn,False
11.100,11.100.01,ISO 17822:2020,60.60,Laboratory medicine in general,Published,False
11.100,11.100.01,ISO 20658:2023,60.60,Laboratory medicine in general,Published,False
11.100,11.100.01,ISO/TS 20658:2017,95.99,Laboratory medicine in general,Withdrawn,False
11.100,11.100.01,ISO/TS 20914:2019,90.60,Laboratory medicine in general,Published,False
11.100,11.100.01,ISO 22367:2020,60.60,Laboratory medicine in general,Published,False
11.100,11.100.01,ISO/TS 22367:2008,95.99,Laboratory medicine in general,Withdrawn,False
11.100,11.100.01,ISO/TS 22367:2008/Cor 1:2009,95.99,Laboratory medicine in general,Withdrawn,False
11.100,11.100.01,ISO/TS 22583:2019,90.60,Laboratory medicine in general,Published,False
11.100,11.100.01,ISO/TR 22869:2005,95.99,Laboratory medicine in general,Withdrawn,False
11.100,11.100.01,ISO 22870:2006,95.99,Laboratory medicine in general,Withdrawn,False
11.100,11.100.01,ISO 22870:2016,95.99,Laboratory medicine in general,Withdrawn,False
11.100,11.100.01,ISO 23162:2021,60.60,Laboratory medicine in general,Published,False
11.100,11.100.01,ISO/CD TS 23824,30.60,Laboratory medicine in general,Under development,False
11.100,11.100.01,ISO 24998:2008,90.93,Laboratory medicine in general,Published,False
11.100,11.100.01,ISO 35001:2019,60.60,Laboratory medicine in general,Published,False
11.100,11.100.10,ISO 4307:2021,60.60,In vitro diagnostic test systems,Published,False
11.100,11.100.10,ISO/CD 5649,30.60,In vitro diagnostic test systems,Under development,False
11.100,11.100.10,ISO 6717:2021,60.60,In vitro diagnostic test systems,Published,False
11.100,11.100.10,ISO/CD TS 7552-1,30.60,In vitro diagnostic test systems,Under development,False
11.100,11.100.10,ISO/CD TS 7552-2,30.60,In vitro diagnostic test systems,Under development,False
11.100,11.100.10,ISO/CD TS 7552-3,30.60,In vitro diagnostic test systems,Under development,False
11.100,11.100.10,ISO 13079:2011,90.93,In vitro diagnostic test systems,Published,False
11.100,11.100.10,ISO 15193:2002,95.99,In vitro diagnostic test systems,Withdrawn,False
11.100,11.100.10,ISO 15193:2009,90.92,In vitro diagnostic test systems,Published,False
11.100,11.100.10,ISO/CD 15193,30.60,In vitro diagnostic test systems,Under development,False
11.100,11.100.10,ISO 15194:2002,95.99,In vitro diagnostic test systems,Withdrawn,False
11.100,11.100.10,ISO 15194:2009,90.92,In vitro diagnostic test systems,Published,False
11.100,11.100.10,ISO/CD 15194,30.60,In vitro diagnostic test systems,Under development,False
11.100,11.100.10,ISO 15197:2003,95.99,In vitro diagnostic test systems,Withdrawn,False
11.100,11.100.10,ISO 16256:2021,60.60,In vitro diagnostic test systems,Published,False
11.100,11.100.10,ISO 17511:2003,95.99,In vitro diagnostic test systems,Withdrawn,False
11.100,11.100.10,ISO 17511:2020,60.60,In vitro diagnostic test systems,Published,False
11.100,11.100.10,ISO/TR 18112:2006,95.99,In vitro diagnostic test systems,Withdrawn,False
11.100,11.100.10,ISO 18113-1:2009,95.99,In vitro diagnostic test systems,Withdrawn,False
11.100,11.100.10,ISO 18113-1:2022,60.60,In vitro diagnostic test systems,Published,False
11.100,11.100.10,ISO 18113-2:2009,95.99,In vitro diagnostic test systems,Withdrawn,False
