is_deleted,title,description,abstract,status,publication_date,edition,no_of_pages,technical_committee,ics
False,ISO 11140-3:2000,Sterilization of health care products — Chemical indicators — Part 3: Class 2 indicators for steam penetration test sheets,,Withdrawn,2000-09,1,22,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 11140-3:2007,Sterilization of health care products — Chemical indicators — Part 3: Class 2 indicator systems for use in the Bowie and Dick-type steam penetration test,"ISO 11140-3:2007 specifies the requirements for chemical indicators to be used in the steam penetration test for steam sterilizers for wrapped goods, e.g. instruments and porous materials. The indicator for this purpose is a Class 2 indicator as described in ISO 11140-1.
Indicators complying with ISO 11140-3:2007 are intended for use in combination with the standard test pack as described in EN 285. ISO 11140-3:2007 does not consider the performance of the standard test pack, but does specify the performance of the indicators.",Published,2007-03,2,21,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 11140-3:2007/Cor 1:2007,Sterilization of health care products — Chemical indicators — Part 3: Class 2 indicator systems for use in the Bowie and Dick-type steam penetration test — Technical Corrigendum 1,,Published,2007-11,2,1,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO/CD 11140-3,Sterilization of health care products — Chemical indicators — Part 3: Class 2 indicator systems for use in the Bowie and Dick-type steam penetration test,"ISO 11140-3:2007 specifies the requirements for chemical indicators to be used in the steam penetration test for steam sterilizers for wrapped goods, e.g. instruments and porous materials. The indicator for this purpose is a Class 2 indicator as described in ISO 11140-1.
Indicators complying with ISO 11140-3:2007 are intended for use in combination with the standard test pack as described in EN 285. ISO 11140-3:2007 does not consider the performance of the standard test pack, but does specify the performance of the indicators.",Under development,,3,,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 11140-4:2001,Sterilization of health care products — Chemical indicators — Part 4: Class 2 indicators for steam penetration test packs,,Withdrawn,2001-05,1,33,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 11140-4:2007,Sterilization of health care products — Chemical indicators — Part 4: Class 2 indicators as an alternative to the Bowie and Dick-type test for detection of steam penetration,"ISO 11140-4:2007 specifies the performance for a Class 2 indicator to be used as an alternative to the Bowie and Dick-type test for steam sterilizers for wrapped health care goods (instruments, etc. and porous loads).
An indicator complying with ISO 11140-4:2007 incorporates a specified material which is used as a test load. This test load may, or may not, be re-usable. ISO 11140-4:2007 does not specify requirements for the test load, but specifies the performance of the indicator in combination with the test load with which it is intended to be used. The indicator specified in ISO 11140-4:2007 is intended to identify poor steam penetration but does not necessarily indicate the cause of this poor steam penetration.
This part of ISO 11140-4:2007 does not include test methods to establish the suitability of these indicators for use in sterilizers in which the air removal stage does not include evacuation below atmospheric pressure.",Published,2007-03,2,35,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO/CD 11140-4,Sterilization of health care products — Chemical indicators — Part 4: Class 2 indicators as an alternative to the Bowie and Dick-type test for detection of steam penetration,"ISO 11140-4:2007 specifies the performance for a Class 2 indicator to be used as an alternative to the Bowie and Dick-type test for steam sterilizers for wrapped health care goods (instruments, etc. and porous loads).
An indicator complying with ISO 11140-4:2007 incorporates a specified material which is used as a test load. This test load may, or may not, be re-usable. ISO 11140-4:2007 does not specify requirements for the test load, but specifies the performance of the indicator in combination with the test load with which it is intended to be used. The indicator specified in ISO 11140-4:2007 is intended to identify poor steam penetration but does not necessarily indicate the cause of this poor steam penetration.
This part of ISO 11140-4:2007 does not include test methods to establish the suitability of these indicators for use in sterilizers in which the air removal stage does not include evacuation below atmospheric pressure.",Under development,,3,,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 11140-5:2000,Sterilization of health care products — Chemical indicators — Part 5: Class 2 indicators for air removal test sheets and packs,,Withdrawn,2000-11,1,13,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 11140-5:2007,Sterilization of health care products — Chemical indicators — Part 5: Class 2 indicators for Bowie and Dick-type air removal tests,"ISO 11140-5:2007 specifies the requirements for Class 2 indicators for Bowie and Dick-type air removal tests used to evaluate the effectiveness of air removal during the pre-vacuum phase of pre-vacuum steam sterilization cycles.
Additionally, ISO 11140-5:2007 includes test methods and equipment used to meet these performance requirements.",Published,2007-03,2,12,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO/CD 11140-5,Sterilization of health care products — Chemical indicators — Part 5: Class 2 indicators for Bowie and Dick-type air removal tests,"ISO 11140-5:2007 specifies the requirements for Class 2 indicators for Bowie and Dick-type air removal tests used to evaluate the effectiveness of air removal during the pre-vacuum phase of pre-vacuum steam sterilization cycles.
Additionally, ISO 11140-5:2007 includes test methods and equipment used to meet these performance requirements.",Under development,,3,,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 11140-6:2022,Sterilization of health care products — Chemical indicators — Part 6: Type 2 indicators and process challenge devices for use in performance testing of small steam sterilizers,"This document specifies the performance requirements and test methods for hollow devices and porous devices as well as the chemical indicators and biological indicators that are utilized within these devices for testing a specific steam penetration performance of type B cycles and some type S cycles of small steam sterilizers according to EN 13060.
NOTE      The hollow and porous devices described in this document are not intended for use as surrogate devices for hollow and porous medical devices used in health care facilities.
a)    Chemical indicators used with a porous device specified in this document are designed to demonstrate the adequacy of steam penetration into a porous device in small steam sterilizers (see EN 13060).
This document specifies the requirements for:
—    a reference porous device (RPD) as a reference device by which alternative porous indicator systems (APISs) can be shown to be equivalent in performance according to this document, i.e. a textile test pack in which steam penetration is judged by thermometric means;
—    an alternative porous chemical indicator system equivalent in performance to the RPD, i.e. an APIS, usually commercially manufactured, of any design.
b)    Chemical indicators used with a hollow load device specified in this document are designed to demonstrate the adequacy of steam penetration into a narrow lumen (previously known as hollow load A) in small steam sterilizers (see EN 13060).
This document specifies the requirements for:
—    a reference hollow device (RHD) used as a reference device in this document, i.e. a lumened device with attached capsule in which steam penetration is judged by inactivation or survival of a specified biological indicator;
—    an alternative hollow device:
—    employing the same specific test load as defined for the RHD and a chemical indicator designed specifically for use in the reference hollow test load, i.e. a lumened device with an attached capsule in which steam penetration is judged by visual examination of a chemical indicator;
—    equivalent in performance to the RHD, i.e. an alternative hollow device, usually commercially manufactured, of any design.",Published,2022-11,1,40,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 11737-1:1995,Sterilization of medical devices — Microbiological methods — Part 1: Estimation of population of microorganisms on products,Specifies general criteria for the estimation of the population of viable microorganisms on medical devices or packages. Not applicable for the enumeration or identification of viral contamination and to the microbiological monitoring of the environment in which medical devices are manufactured.,Withdrawn,1995-11,1,19,ISO/TC 198 Sterilization of health care products,07.100.10 Medical microbiology                 11.080.01 Sterilization and disinfection in general
False,ISO 11737-1:2006,Sterilization of medical devices — Microbiological methods — Part 1: Determination of a population of microorganisms on products,"ISO 11737-1:2006 specifies requirements and provides guidance for the enumeration and microbial characterization of the population of viable micro-organisms on or in a medical device, component, raw material or package.",Withdrawn,2006-04,2,35,ISO/TC 198 Sterilization of health care products,07.100.10 Medical microbiology                 11.080.01 Sterilization and disinfection in general
False,ISO 11737-1:2006/Cor 1:2007,Sterilization of medical devices — Microbiological methods — Part 1: Determination of a population of microorganisms on products — Technical Corrigendum 1,,Withdrawn,2007-05,2,1,ISO/TC 198 Sterilization of health care products,07.100.10 Medical microbiology                 11.080.01 Sterilization and disinfection in general
False,ISO 11737-1:2018/Amd 1:2021,Sterilization of health care products — Microbiological methods — Part 1: Determination of a population of microorganisms on products — Amendment 1,,Published,2021-05,3,2,ISO/TC 198 Sterilization of health care products,07.100.10 Medical microbiology                 11.080.01 Sterilization and disinfection in general
False,ISO 11737-2:1998,Sterilization of medical devices — Microbiological methods — Part 2: Tests of sterility performed in the validation of a sterilization process,,Withdrawn,1998-07,1,13,ISO/TC 198 Sterilization of health care products,07.100.10 Medical microbiology                 11.080.01 Sterilization and disinfection in general
False,ISO 15882:2003,"Sterilization of health care products — Chemical indicators — Guidance for selection, use and interpretation of results","ISO 15882:2003 provides guidance for the selection, use and interpretation of results of chemical indicators used in process definition, validation, and routine monitoring and control of sterilization processes. ISO 15882:2003 is applicable to chemical indicators for which International Standards exist (see ISO 11140 series).
ISO 15882:2003 is not applicable to those processes that rely on physical removal of microorganisms, e.g. filtration.
ISO 15882:2003 is not intended to apply to combination processes, for example, washer-disinfectors or flushing and steaming of pipelines.",Withdrawn,2003-03,1,17,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 11737-3,Sterilization of health care products — Microbiological methods — Part 3: Bacterial endotoxin testing,,Under development,2023-06,1,,ISO/TC 198 Sterilization of health care products,07.100.10 Medical microbiology                 11.080.01 Sterilization and disinfection in general
False,ISO 11737-3:2004,Sterilization of medical devices — Microbiological methods — Part 3: Guidance on evaluation and interpretation of bioburden data,"ISO 11737-3:2004 provides guidance on evaluating and interpreting the data generated during routine monitoring of the microbiological quality of medical devices.
ISO 11737-3:2004 is not applicable to the use of bioburden data generated for establishing the extent of treatment to be applied in a sterilization process. 
ISO 11737-3:2004 is not applicable to microbiological data generated from sampling the environment in manufacturing areas.",Withdrawn,2004-07,1,8,ISO/TC 198 Sterilization of health care products,07.100.10 Medical microbiology                 11.080.01 Sterilization and disinfection in general
False,ISO 13004:2022,Sterilization of health care products — Radiation — Substantiation of selected sterilization dose: Method VDmaxSD,"This document describes a method for substantiating a selected sterilization dose of 17,5 kGy, 20 kGy, 22,5 kGy, 27,5 kGy, 30 kGy, 32,5 kGy or 35 kGy that achieves a sterility assurance level (SAL) of 10−6 or less for radiation sterilization of health care products. This document also specifies a method of sterilization dose audit used to demonstrate the continued effectiveness of the substantiated sterilization dose.
NOTE 1   Selection and substantiation of the sterilization dose is used to meet the requirements for establishing the sterilization dose within process definition in ISO 11137‑1.
This document does not apply to other sterilization doses than the substantiation of a selected sterilization dose of 17,5 kGy, 20 kGy, 22,5 kGy, 27,5 kGy, 30 kGy, 32,5 kGy or 35 kGy. The method is not used for the substantiation of a selected sterilization dose if the average bioburden of the entire product item exceeds the limit specified for the selected sterilization dose (see Table 3).
NOTE 2   The methods for substantiation of selected sterilization doses of 25 kGy and 15 kGy are not included in this document. They are described in ISO 11137‑2.
If the decision is made to use this method of sterilization dose establishment, the method is intended to be followed in accordance with the requirements (shall) and guidance (should) stipulated herein.",Published,2022-10,1,54,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO/TS 13004:2013,Sterilization of health care products — Radiation — Substantiation of selected sterilization dose: Method VDmaxSD,"ISO/TS 13004:2013 describes a method for substantiating a selected sterilization dose of 17,5, 20, 22,5, 27,5, 30, 32,5 or 35 kGy that achieves a sterility assurance level (SAL) of 10−6 or less for radiation sterilization of health care products. ISO/TS 13004:2013 also specifies a method of sterilization dose audit used to demonstrate the continued effectiveness of the substantiated sterilization dose.",Withdrawn,2013-05,1,57,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 13408-1:1998,Aseptic processing of health care products — Part 1: General requirements,,Withdrawn,1998-07,1,31,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 13408-1:2008,Aseptic processing of health care products — Part 1: General requirements,"ISO 13408-1:2008 specifies the general requirements for, and offers guidance on, processes, programmes and procedures for development, validation and routine control of the manufacturing process for aseptically-processed health care products.
ISO 13408-1:2008 includes requirements and guidance relative to the overall topic of aseptic processing. Specific requirements and guidance on various specialized processes and methods related to filtration, lyophilization, clean-in place (CIP) technologies, sterilization in place (SIP) and isolator systems are given in other parts of ISO 13408.",Published,2008-06,2,45,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 13408-1:2008/Amd 1:2013,Aseptic processing of health care products — Part 1: General requirements — Amendment 1,,Published,2013-05,2,8,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO/FDIS 13408-1,Aseptic processing of health care products — Part 1: General requirements,,Under development,,3,77,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 13408-2:2003,Aseptic processing of health care products — Part 2: Filtration,"ISO 13408-2:2003 specifies requirements for sterilizing filtration as part of aseptic processing of health care products. It also offers guidance to filter users concerning general requirements for set-up, validation and routine operation of a sterilizing filtration process, to be used for aseptic processing of health care products. 
ISO 13408-2:2003 is not applicable to removal of viruses. Sterilizing filtration is not applicable to fluids containing particles as effective ingredient larger than the pore size of a filter (e.g. bacterial whole-cell vaccines).",Withdrawn,2003-03,1,11,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO/TR 20520:2018,Traditional Chinese medicine — Infection control for acupuncture treatment,ISO/TR 20520:2018 specifies aspects to be considered for infection control for acupuncture treatment. Clinical practice in acupuncture treatment is outside the scope of this document.,Published,2018-04,1,5,ISO/TC 249 Traditional Chinese medicine,11.080.01 Sterilization and disinfection in general
False,ISO 13408-2:2018,Aseptic processing of health care products — Part 2: Sterilizing filtration,"ISO 13408-2:2018 specifies requirements for sterilizing filtration as part of aseptic processing of health care products conducted in accordance with ISO 13408‑1. It also offers guidance to filter users concerning general requirements for set-up, validation and routine operation of a sterilizing filtration process.
ISO 13408-2:2018 is not applicable to removal of viruses.
Sterilizing filtration is not applicable to fluids that intentionally contain particles larger than the pore size of the filter (e.g. bacterial whole-cell vaccines).
ISO 13408-2:2018 is not applicable to high efficiency particulate air (HEPA) filters.
ISO 13408-2:2018 does not specify requirements for the development, validation and routine control of a process for removing the causative agents of spongiform encephalopathies such as scrapie, bovine spongiform encephalopathy and Creutzfeldt-Jakob disease. Specific recommendations have been produced in particular countries for the processing of materials potentially contaminated with these agents.",Published,2018-01,2,34,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 13408-3:2006,Aseptic processing of health care products — Part 3: Lyophilization,"ISO 13408-3:2006 specifies requirements for, and offers guidance on, equipment, processes, programmes and procedures for the control and validation of lyophilization as an aseptic process. It does not address the physical/chemical objectives of a lyophilization process.",Published,2006-09,1,11,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 13408-4:2005,Aseptic processing of health care products — Part 4: Clean-in-place technologies,"ISO 13408-4:2005 specifies the general requirements for clean-in-place (CIP) processes applied to product contact surfaces of equipment used in the manufacture of sterile health care products by aseptic processing and offers guidance on qualification, validation, operation and control.
ISO 13408-4:2005 is applicable to processes where cleaning agents are delivered to the internal surfaces of equipment designed to be compatible with CIP, which may come in contact with the product. 
ISO 13408-4:2005 is not applicable to processes where equipment is dismantled and cleaned in a washer. 
ISO 13408-4:2005 does not supersede or replace national regulatory requirements, such as Good Manufacturing Practices (GMPs) and/or compendial requirements that pertain to particular national or regional jurisdictions.",Published,2005-11,1,14,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 13408-5:2006,Aseptic processing of health care products — Part 5: Sterilization in place,"ISO 13408-5:2006 specifies the general requirements for sterilization in place (SIP) applied to product contact surfaces of the equipment used in the manufacture of sterile health care products by aseptic processing and offers guidance on qualification, validation, operation and control.
ISO 13408-5:2006 applies to processes where sterilizing agents are delivered to the internal surfaces of equipment that can come in contact with the product.",Published,2006-11,1,14,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 13408-6:2005,Aseptic processing of health care products — Part 6: Isolator systems,"ISO 13408-6:2005 specifies the requirements for isolator systems used for aseptic processing and offers guidance on qualification, bio-decontamination, validation, operation and control of isolator systems used for aseptic processing of health care products.
ISO 13408-6:2005 is focused on the use of isolator systems to maintain aseptic conditions; this may include applications for hazardous materials.
ISO 13408-6:2005 does not supersede or replace national regulatory requirements, such as Good Manufacturing Practices (GMPs) and/or compendial requirements that pertain in particular to national or regional jurisdictions.",Withdrawn,2005-06,1,17,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 13408-6:2005/Amd 1:2013,Aseptic processing of health care products — Part 6: Isolator systems — Amendment 1,,Withdrawn,2013-03,1,4,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 13408-6:2021,Aseptic processing of health care products — Part 6: Isolator systems,"This document specifies the requirements for and provides guidance on the specification, selection, qualification, bio-decontamination, validation, operation and control of isolator systems related to aseptic processing of health care products and processing of cell-based health care products.
This document does not specify requirements for restricted access barrier systems (RABS).
This document does not supersede or replace national regulatory requirements such as Good Manufacturing Practices (GMPs) and/or compendia requirements that pertain in particular to national or regional jurisdictions.
This document does not specify requirements for isolators used for sterility testing; however, some of the principles and information in this document could be applicable to this application.
This document does not define biosafety containment requirements.",Published,2021-04,2,25,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 13408-7:2012,Aseptic processing of health care products — Part 7: Alternative processes for medical devices and combination products,"ISO 13408-7:2012 specifies requirements and provides guidance on alternative approaches to process simulations for the qualification of the aseptic processing of medical devices and combination products that cannot be terminally sterilized and where the process simulation approach according to ISO 13408-1 cannot be applied.
ISO 13408-7:2012 describes how risk assessment can be used during the development of an aseptic process to design a process simulation study for medical devices and combination products in those cases where a straightforward substitution of media for product during aseptic processing is not feasible or would not simulate the actual aseptic process.",Published,2012-08,1,19,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO/TR 13409:1996,Sterilization of health care products — Radiation sterilization — Substantiation of 25 kGy as a sterilization dose for small or infrequent production batches,"Describes a method of substantiating the suitability of 25 kGy as a sterilization dose for radiation sterilization of health care products with an average bioburden of less than 1 000 colony forming units (cfu), that are manufactured in small quantities.",Withdrawn,1996-12,1,19,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 20857:2010,"Sterilization of health care products — Dry heat — Requirements for the development, validation and routine control of a sterilization process for medical devices","ISO 20857:2010 specifies requirements for the development, validation and routine control of a dry heat sterilization process for medical devices.
Although ISO 20857:2010 primarily addresses dry heat sterilization, it also specifies requirements and provides guidance in relation to depyrogenation processes using dry heat.",Published,2010-08,1,58,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO/TS 13409:2002,Sterilization of health care products — Radiation sterilization — Substantiation of 25 kGy as a sterilization dose for small or infrequent production batches,"ISO/TS 13409:2002 describes a method of substantiating the suitability of 25 kGy as a sterilization dose for radiation sterilization of products with an average bioburden of less than 1 000 colony-forming units (cfu) that are manufactured in small quantities (less than 1 000 product units).
This method may be used to substantiate a sterilization dose of 25 kGy for any of the following situations:
a single batch of product units;initial production of a new product while the sterilization dose is being established by another method;routine production of small batches.
Information collected in applying the method of dose substantiation described in this Technical Specification may be applicable in meeting the product qualification requirements for sterilization dose selection of ISO 11137:1995.",Withdrawn,2002-09,1,12,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 13683:1997,Sterilization of health care products — Requirements for validation and routine control of moist heat sterilization in health care facilities,,Withdrawn,1997-05,1,33,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 14160:1998,Sterilization of single-use medical devices incorporating materials of animal origin — Validation and routine control of sterilization by liquid chemical sterilants,,Withdrawn,1998-03,1,21,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 14160:2011,"Sterilization of health care products — Liquid chemical sterilizing agents for single-use medical devices utilizing animal tissues and their derivatives — Requirements for characterization, development, validation and routine control of a sterilization process for medical devices","ISO 14160:2011 specifies requirements for the characterization of a liquid chemical sterilizing agent and for the development, validation, process control and monitoring of sterilization by liquid chemical sterilizing agents of single-use medical devices comprising, in whole or in part, materials of animal origin.
ISO 14160:2011 covers the control of risks arising from contamination with bacteria and fungi by application of a liquid chemical sterilization process. Risks associated with other microorganisms need to be assessed. 
ISO 14160:2011 is not applicable to material of human origin.
ISO 14160:2011 does not describe methods for the validation of the inactivation of viruses and transmissible spongiform encephalopath (TSE) agents. 
ISO 14160:2011 does not describe methods for validation of the inactivation, elimination, or elimination and inactivation of protozoa and parasites.
The requirements for validation and routine control described in ISO 14160:2011 are only applicable to the defined sterilization process of a medical device, which is performed after the manufacturing process, and do not take account of the lethal effects of other bioburden reduction steps.
ISO 14160:2011 does not specify tests to establish the effects of any chosen sterilization method upon the fitness for use of the medical device.
ISO 14160:2011 does not cover the level of residual sterilizing agent within medical devices.
ISO 14160:2011 does not describe a quality management system for the control of all stages of manufacture.",Withdrawn,2011-07,2,34,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 14160:2020,"Sterilization of health care products — Liquid chemical sterilizing agents for single-use medical devices utilizing animal tissues and their derivatives — Requirements for characterization, development, validation and routine control of a sterilization process for medical devices","This document specifies requirements for the characterization of a liquid chemical sterilizing agent and for the development, validation, process control and monitoring of sterilization by liquid chemical sterilizing agents of single-use medical devices comprising, in whole or in part, materials of animal origin.
This document covers the control of risks arising from contamination with bacteria and fungi by application of a liquid chemical sterilization process. Risks associated with other microorganisms can be assessed using other methods (see NOTE 1).
This document is not applicable to material of human origin.
This document does not describe methods for the validation of the inactivation of viruses and transmissible spongiform encephalopathy (TSE) agents (see NOTE 2 and NOTE 3).
This document does not describe methods for validation of the inactivation or elimination of protozoa and parasites.
The requirements for validation and routine control described in this document are only applicable to the defined sterilization process of a medical device, which is performed after the manufacturing process, and do not take account of the lethal effects of other bioburden reduction steps (see NOTE 4).
This document does not specify tests to establish the effects of any chosen sterilization process upon the fitness for use of the medical device (see NOTE 5).
This document does not cover the level of residual sterilizing agent within medical devices (see NOTE 6).
Guidance for the characterization of a liquid chemical sterilizing agent and for the development, validation, process control and monitoring of sterilization by liquid chemical sterilizing agents of single-use medical devices comprising, in whole or in part, materials of animal origin is provided in informative Annex A.
NOTE 1  The prior application of risk management principles to medical devices utilizing animal tissues, as described in ISO 22442-1 is important. ISO 18362 provides information on control of microbial risks during processing of cell-based health-care products.
NOTE 2  Liquid chemical sterilizing agents traditionally employed to sterilize animal tissues in medical devices might not be effective in inactivating the causative agents of TSE such as bovine spongiform encephalopathy (BSE), or scrapie. Satisfactory validation in accordance with this document does not necessarily demonstrate inactivation of infective agents of this type. Risk controls related to sourcing, collection and handling of animal materials are described in ISO 22442-2.
NOTE 3  The validation of the inactivation, elimination, or elimination and inactivation of viruses and TSE agents is described in ISO 22442-3.
NOTE 4  Manufacturing processes for medical devices containing animal tissues frequently include exposure to chemical agents which can significantly reduce the bioburden on the medical device. Following the manufacturing process, a medical device is exposed to a specified sterilization process.
NOTE 5  Such testing is a crucial part of the design and development of a medical device.
NOTE 6  ISO 10993-17 specifies a method to establish allowable limits for residues of sterilizing agents.
NOTE 7  Standards for quality management systems (see ISO 13485) can be used in the control of all stages of manufacture including the sterilization process.",Published,2020-09,3,37,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 14161:2000,"Sterilization of health care products — Biological indicators — Guidance for the selection, use and interpretation of results",,Withdrawn,2000-10,1,40,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 14161:2009,"Sterilization of health care products — Biological indicators — Guidance for the selection, use and interpretation of results","ISO 14161:2009 provides guidance for the selection, use and interpretation of results from application of biological indicators when used in the development, validation and routine monitoring of sterilization processes.
ISO 14161:2009 applies to biological indicators for which International Standards exist.",Withdrawn,2009-09,2,63,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 14937:2000,"Sterilization of health care products — General requirements for characterization of a sterilizing agent and the development, validation and routine control of a sterilization process for medical devices",,Withdrawn,2000-12,1,35,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 14937:2000/Cor 1:2003,"Sterilization of health care products — General requirements for characterization of a sterilizing agent and the development, validation and routine control of a sterilization process for medical devices — Technical Corrigendum 1",,Withdrawn,2003-06,1,2,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 14937:2009,"Sterilization of health care products — General requirements for characterization of a sterilizing agent and the development, validation and routine control of a sterilization process for medical devices","ISO 14937:2009 specifies general requirements for the characterization of a sterilizing agent and for the development, validation and routine monitoring and control of a sterilization process for medical devices.
It applies to sterilization processes in which microorganisms are inactivated by physical and/or chemical means and is intended to be applied by process developers, manufacturers of sterilization equipment, manufacturers of medical devices to be sterilized, and organizations responsible for sterilizing medical devices.
ISO 14937:2009 specifies the elements of a Quality Management System which are necessary to assure the appropriate characterization of the sterilizing agent, development, validation and routine monitoring and control of a sterilization process.",Published,2009-10,2,37,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO/TS 15843:2000,"Sterilization of health care products — Radiation sterilization — Product families and sampling plans for verification dose experiments and sterilization dose audits, and frequency of sterilization dose audits",,Withdrawn,2000-09,1,25,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO/TR 15844:1998,Sterilization of health care products — Radiation sterilization — Selection of sterilization dose for a single production batch,,Withdrawn,1998-12,1,11,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 15882:2008,"Sterilization of health care products — Chemical indicators — Guidance for selection, use and interpretation of results","ISO 15882:2008 provides guidance for the selection, use and interpretation of results of chemical indicators used in process definition, validation and routine monitoring and overall control of sterilization processes.
ISO 15882:2008 applies to indicators that show exposure to sterilization processes by means of physical and/or chemical change of substances, and which are used to monitor one or more of the variables required for a sterilization process. These chemical indicators are not dependent for their action on the presence or absence of a living organism.",Published,2008-09,2,31,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 17664:2017,Processing of health care products — Information to be provided by the medical device manufacturer for the processing of medical devices,"ISO 17664:2017 specifies requirements for the information to be provided by the medical device manufacturer for the processing of a medical device that requires cleaning followed by disinfection and/or sterilization to ensure that the device is safe and effective for its intended use.
This includes information for processing prior to use or reuse of the medical device. The provisions of ISO 17664:2017 are applicable to medical devices that are intended for invasive or other direct or indirect patient contact.",Withdrawn,2017-10,2,24,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 17665-1:2006,"Sterilization of health care products — Moist heat — Part 1: Requirements for the development, validation and routine control of a sterilization process for medical devices","ISO 17665-1:2006 specifies requirements for the development, validation and routine control of a moist heat sterilization process for medical devices.
Moist heat sterilization processes covered by ISO 17665-1:2006 include but are not limited to:
saturated steam venting systems;saturated steam active air removal systems;air steam mixtures;water spray;water immersion.",Published,2006-08,1,38,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO/TS 17665-2:2009,Sterilization of health care products — Moist heat — Part 2: Guidance on the application of ISO 17665-1,"ISO/TS 17665-2:2009 provides general guidance on the development, validation and routine control of moist heat sterilization processes and is intended to explain the requirements set forth in ISO 17665-1. The guidance given in this Technical Specification is provided to promote good practice related to moist heat sterilization processes and to assist those developing and validating a moist heat sterilization process according to ISO 17665-1.",Published,2009-01,1,47,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO/TS 17665-3:2013,Sterilization of health care products — Moist heat — Part 3: Guidance on the designation of a medical device to a product family and processing category for steam sterilization,ISO/TS 17665-3:2013 provides guidance about the attributes of a medical device to be considered by the user when assigning a medical device to a product family for the purpose of identifying and aligning it to a processing category for a specific moist heat sterilization process.,Published,2013-04,1,51,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO/FDIS 17665,"Sterilization of health care products — Moist heat — Requirements for the development, validation and routine control of a sterilization process for medical devices",,Under development,,2,,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
